Day,Date,News Sentiment,Online Status
Wednesday,December 9, -0.1264,Yes
Thursday,December 10,-0.0167,No
Friday,December 11,0.3567,No
Saturday,December 12,0.0183,Yes
Sunday,December 13,0.0178,Yes
Monday,December 14,0.102789,No
Tuesday,December 15,-0.2275,Yes
Wednesday,December 16,-0.34952,Yes
